cashTranNo;amount;portfolioRefCode
160000;10000000;nt1
160001;10000000;nt2
160002;10000000;nt3
160003;10000000;nt4
160004;10000000;nt5
160005;10000000;nt6
160006;10000000;nt7
160007;10000000;nt8
160008;10000000;nt9
160009;10000000;nt10
160010;10000000;nt11
160011;10000000;nt12
160012;10000000;nt13
160013;10000000;nt14
160014;10000000;nt15
160015;10000000;nt16
160016;10000000;nt17
160017;10000000;nt18
160018;10000000;nt19
160019;10000000;nt20
160020;10000000;nt21
160021;10000000;nt22
160022;10000000;nt23
160023;10000000;nt24
160024;10000000;nt25
160025;10000000;nt26
160026;10000000;nt27
160027;10000000;nt28
160028;10000000;nt29
160029;10000000;nt30
160030;10000000;nt31
160031;10000000;nt32
160032;10000000;nt33
160033;10000000;nt34
160034;10000000;nt35
160035;10000000;nt36
160036;10000000;nt37
160037;10000000;nt38
160038;10000000;nt39
160039;10000000;nt40
160040;10000000;nt41
160041;10000000;nt42
160042;10000000;nt43
160043;10000000;nt44
160044;10000000;nt45
160045;10000000;nt46
160046;10000000;nt47
160047;10000000;nt48
160048;10000000;nt49
160049;10000000;nt50
160050;10000000;nt51
160051;10000000;nt52
160052;10000000;nt53
160053;10000000;nt54
160054;10000000;nt55
160055;10000000;nt56
160056;10000000;nt57
160057;10000000;nt58
160058;10000000;nt59
160059;10000000;nt60
160060;10000000;nt61
160061;10000000;nt62
160062;10000000;nt63
160063;10000000;nt64
160064;10000000;nt65
160065;10000000;nt66
160066;10000000;nt67
160067;10000000;nt68
160068;10000000;nt69
160069;10000000;nt70
160070;10000000;nt71
160071;10000000;nt72
160072;10000000;nt73
160073;10000000;nt74
160074;10000000;nt75
160075;10000000;nt76
160076;10000000;nt77
160077;10000000;nt78
160078;10000000;nt79
160079;10000000;nt80
160080;10000000;nt81
160081;10000000;nt82
160082;10000000;nt83
160083;10000000;nt84
160084;10000000;nt85
160085;10000000;nt86
160086;10000000;nt87
160087;10000000;nt88
160088;10000000;nt89
160089;10000000;nt90
160090;10000000;nt91
160091;10000000;nt92
160092;10000000;nt93
160093;10000000;nt94
160094;10000000;nt95
160095;10000000;nt96
160096;10000000;nt97
160097;10000000;nt98
160098;10000000;nt99
160099;10000000;nt100
160100;10000000;nt101
160101;10000000;nt102
160102;10000000;nt103
160103;10000000;nt104
160104;10000000;nt105
160105;10000000;nt106
160106;10000000;nt107
160107;10000000;nt108
160108;10000000;nt109
160109;10000000;nt110
160110;10000000;nt111
160111;10000000;nt112
160112;10000000;nt113
160113;10000000;nt114
160114;10000000;nt115
160115;10000000;nt116
160116;10000000;nt117
160117;10000000;nt118
160118;10000000;nt119
160119;10000000;nt120
160120;10000000;nt121
160121;10000000;nt122
160122;10000000;nt123
160123;10000000;nt124
160124;10000000;nt125
160125;10000000;nt126
160126;10000000;nt127
160127;10000000;nt128
