portfolioRefCode;currencyCode
nt1;TL
nt2;TL
nt3;TL
nt4;TL
nt5;TL
nt6;TL
nt7;TL
nt8;TL
nt9;TL
nt10;TL
nt11;TL
nt12;TL
nt13;TL
nt14;TL
nt15;TL
nt16;TL
nt17;TL
nt18;TL
nt19;TL
nt20;TL
nt21;TL
nt22;TL
nt23;TL
nt24;TL
nt25;TL
nt26;TL
nt27;TL
nt28;TL
nt29;TL
nt30;TL
nt31;TL
nt32;TL
nt33;TL
nt34;TL
nt35;TL
nt36;TL
nt37;TL
nt38;TL
nt39;TL
nt40;TL
nt41;TL
nt42;TL
nt43;TL
nt44;TL
nt45;TL
nt46;TL
nt47;TL
nt48;TL
nt49;TL
nt50;TL
nt51;TL
nt52;TL
nt53;TL
nt54;TL
nt55;TL
nt56;TL
nt57;TL
nt58;TL
nt59;TL
nt60;TL
nt61;TL
nt62;TL
nt63;TL
nt64;TL
nt65;TL
nt66;TL
nt67;TL
nt68;TL
nt69;TL
nt70;TL
nt71;TL
nt72;TL
nt73;TL
nt74;TL
nt75;TL
nt76;TL
nt77;TL
nt78;TL
nt79;TL
nt80;TL
nt81;TL
nt82;TL
nt83;TL
nt84;TL
nt85;TL
nt86;TL
nt87;TL
nt88;TL
nt89;TL
nt90;TL
nt91;TL
nt92;TL
nt93;TL
nt94;TL
nt95;TL
nt96;TL
nt97;TL
nt98;TL
nt99;TL
nt100;TL
nt101;TL
nt102;TL
nt103;TL
nt104;TL
nt105;TL
nt106;TL
nt107;TL
nt108;TL
nt109;TL
nt110;TL
nt111;TL
nt112;TL
nt113;TL
nt114;TL
nt115;TL
nt116;TL
nt117;TL
nt118;TL
nt119;TL
nt120;TL
nt121;TL
nt122;TL
nt123;TL
nt124;TL
nt125;TL
nt126;TL
nt127;TL
nt128;TL
nt129;TL
nt130;TL
nt131;TL
nt132;TL
nt133;TL
nt134;TL
nt135;TL
nt136;TL
nt137;TL
nt138;TL
nt139;TL
nt140;TL
nt141;TL
nt142;TL
nt143;TL
nt144;TL
nt145;TL
nt146;TL
nt147;TL
nt148;TL
nt149;TL
nt150;TL
nt151;TL
nt152;TL
nt153;TL
nt154;TL
nt155;TL
nt156;TL
nt157;TL
nt158;TL
nt159;TL
nt160;TL
nt161;TL
nt162;TL
nt163;TL
nt164;TL
nt165;TL
nt166;TL
nt167;TL
nt168;TL
nt169;TL
nt170;TL
nt171;TL
nt172;TL
nt173;TL
nt174;TL
nt175;TL
nt176;TL
nt177;TL
nt178;TL
nt179;TL
nt180;TL
nt181;TL
nt182;TL
nt183;TL
nt184;TL
nt185;TL
nt186;TL
nt187;TL
nt188;TL
nt189;TL
nt190;TL
nt191;TL
nt192;TL
nt193;TL
nt194;TL
nt195;TL
nt196;TL
nt197;TL
nt198;TL
nt199;TL
nt200;TL
nt201;TL
nt202;TL
nt203;TL
nt204;TL
nt205;TL
nt206;TL
nt207;TL
nt208;TL
nt209;TL
nt210;TL
nt211;TL
nt212;TL
nt213;TL
nt214;TL
nt215;TL
nt216;TL
nt217;TL
nt218;TL
nt219;TL
nt220;TL
nt221;TL
nt222;TL
nt223;TL
nt224;TL
nt225;TL
nt226;TL
nt227;TL
nt228;TL
nt229;TL
nt230;TL
nt231;TL
nt232;TL
nt233;TL
nt234;TL
nt235;TL
nt236;TL
nt237;TL
nt238;TL
nt239;TL
nt240;TL
nt241;TL
nt242;TL
nt243;TL
nt244;TL
nt245;TL
nt246;TL
nt247;TL
nt248;TL
nt249;TL
nt250;TL
nt251;TL
nt252;TL
nt253;TL
nt254;TL
nt255;TL
nt256;TL
nt257;TL
nt258;TL
nt259;TL
nt260;TL
nt261;TL
