z1;tz2001;yy2001;ty5002
z2;tz2002;yy2002;ty5003
z3;tz2003;yy2003;ty5004
z4;tz2004;yy2004;ty5005
z5;tz2005;yy2005;ty5006
z6;tz2006;yy2006;ty5007
z7;tz2007;yy2007;ty5008
z8;tz2008;yy2008;ty5009
z9;tz2009;yy2009;ty5010
z10;tz2010;yy2010;ty5011
z11;tz2011;yy2011;ty5012
z12;tz2012;yy2012;ty5013
z13;tz2013;yy2013;ty5014
z14;tz2014;yy2014;ty5015
z15;tz2015;yy2015;ty5016
z16;tz2016;yy2016;ty5017
z17;tz2017;yy2017;ty5018
z18;tz2018;yy2018;ty5019
z19;tz2019;yy2019;ty5020
z20;tz2020;yy2020;ty5021
z21;tz2021;yy2021;ty5022
z22;tz2022;yy2022;ty5023
z23;tz2023;yy2023;ty5024
z24;tz2024;yy2024;ty5025
z25;tz2025;yy2025;ty5026
z26;tz2026;yy2026;ty5027
z27;tz2027;yy2027;ty5028
z28;tz2028;yy2028;ty5029
z29;tz2029;yy2029;ty5030
z30;tz2030;yy2030;ty5031
z31;tz2031;yy2031;ty5032
z32;tz2032;yy2032;ty5033
z33;tz2033;yy2033;ty5034
z34;tz2034;yy2034;ty5035
z35;tz2035;yy2035;ty5036
z36;tz2036;yy2036;ty5037
z37;tz2037;yy2037;ty5038
z38;tz2038;yy2038;ty5039
z39;tz2039;yy2039;ty5040
z40;tz2040;yy2040;ty5041
z41;tz2041;yy2041;ty5042
z42;tz2042;yy2042;ty5043
z43;tz2043;yy2043;ty5044
z44;tz2044;yy2044;ty5045
z45;tz2045;yy2045;ty5046
z46;tz2046;yy2046;ty5047
z47;tz2047;yy2047;ty5048
z48;tz2048;yy2048;ty5049
z49;tz2049;yy2049;ty5050
z50;tz2050;yy2050;ty5051
z51;tz2051;yy2051;ty5052
z52;tz2052;yy2052;ty5053
z53;tz2053;yy2053;ty5054
z54;tz2054;yy2054;ty5055
z55;tz2055;yy2055;ty5056
z56;tz2056;yy2056;ty5057
z57;tz2057;yy2057;ty5058
z58;tz2058;yy2058;ty5059
z59;tz2059;yy2059;ty5060
z60;tz2060;yy2060;ty5061
z61;tz2061;yy2061;ty5062
z62;tz2062;yy2062;ty5063
z63;tz2063;yy2063;ty5064
