portfolioRefCode;refCode;quantity;price;amount
nt1;hk-0001;100;50;5000
nt2;hk-0002;100;50;5000
nt3;hk-0003;100;50;5000
nt4;hk-0004;100;50;5000
nt5;hk-0005;100;50;5000
nt6;hk-0006;100;50;5000
nt7;hk-0007;100;50;5000
nt8;hk-0008;100;50;5000
nt9;hk-0009;100;50;5000
nt10;hk-0010;100;50;5000
nt11;hk-0011;100;50;5000
nt12;hk-0012;100;50;5000
nt13;hk-0013;100;50;5000
nt14;hk-0014;100;50;5000
nt15;hk-0015;100;50;5000
nt16;hk-0016;100;50;5000
nt17;hk-0017;100;50;5000
nt18;hk-0018;100;50;5000
nt19;hk-0019;100;50;5000
nt20;hk-0020;100;50;5000
nt21;hk-0021;100;50;5000
nt22;hk-0022;100;50;5000
nt23;hk-0023;100;50;5000
nt24;hk-0024;100;50;5000
nt25;hk-0025;100;50;5000
nt26;hk-0026;100;50;5000
nt27;hk-0027;100;50;5000
nt28;hk-0028;100;50;5000
nt29;hk-0029;100;50;5000
nt30;hk-0030;100;50;5000
nt31;hk-0031;100;50;5000
nt32;hk-0032;100;50;5000
nt33;hk-0033;100;50;5000
nt34;hk-0034;100;50;5000
nt35;hk-0035;100;50;5000
nt36;hk-0036;100;50;5000
nt37;hk-0037;100;50;5000
nt38;hk-0038;100;50;5000
nt39;hk-0039;100;50;5000
nt40;hk-0040;100;50;5000
nt41;hk-0041;100;50;5000
nt42;hk-0042;100;50;5000
nt43;hk-0043;100;50;5000
nt44;hk-0044;100;50;5000
nt45;hk-0045;100;50;5000
nt46;hk-0046;100;50;5000
nt47;hk-0047;100;50;5000
nt48;hk-0048;100;50;5000
nt49;hk-0049;100;50;5000
nt50;hk-0050;100;50;5000
nt51;hk-0051;100;50;5000
nt52;hk-0052;100;50;5000
nt53;hk-0053;100;50;5000
nt54;hk-0054;100;50;5000
nt55;hk-0055;100;50;5000
nt56;hk-0056;100;50;5000
nt57;hk-0057;100;50;5000
nt58;hk-0058;100;50;5000
nt59;hk-0059;100;50;5000
nt60;hk-0060;100;50;5000
nt61;hk-0061;100;50;5000
nt62;hk-0062;100;50;5000
nt63;hk-0063;100;50;5000
nt64;hk-0064;100;50;5000
nt65;hk-0065;100;50;5000
nt66;hk-0066;100;50;5000
nt67;hk-0067;100;50;5000
nt68;hk-0068;100;50;5000
nt69;hk-0069;100;50;5000
nt70;hk-0070;100;50;5000
nt71;hk-0071;100;50;5000
nt72;hk-0072;100;50;5000
nt73;hk-0073;100;50;5000
nt74;hk-0074;100;50;5000
nt75;hk-0075;100;50;5000
nt76;hk-0076;100;50;5000
nt77;hk-0077;100;50;5000
nt78;hk-0078;100;50;5000
nt79;hk-0079;100;50;5000
nt80;hk-0080;100;50;5000
nt81;hk-0081;100;50;5000
nt82;hk-0082;100;50;5000
nt83;hk-0083;100;50;5000
nt84;hk-0084;100;50;5000
nt85;hk-0085;100;50;5000
nt86;hk-0086;100;50;5000
nt87;hk-0087;100;50;5000
nt88;hk-0088;100;50;5000
nt89;hk-0089;100;50;5000
nt90;hk-0090;100;50;5000
nt91;hk-0091;100;50;5000
nt92;hk-0092;100;50;5000
nt93;hk-0093;100;50;5000
nt94;hk-0094;100;50;5000
nt95;hk-0095;100;50;5000
nt96;hk-0096;100;50;5000
nt97;hk-0097;100;50;5000
nt98;hk-0098;100;50;5000
nt99;hk-0099;100;50;5000
nt100;hk-0100;100;50;5000
nt101;hk-0101;100;50;5000
nt102;hk-0102;100;50;5000
nt103;hk-0103;100;50;5000
nt104;hk-0104;100;50;5000
nt105;hk-0105;100;50;5000
nt106;hk-0106;100;50;5000
nt107;hk-0107;100;50;5000
nt108;hk-0108;100;50;5000
nt109;hk-0109;100;50;5000
nt110;hk-0110;100;50;5000
nt111;hk-0111;100;50;5000
nt112;hk-0112;100;50;5000
nt113;hk-0113;100;50;5000
nt114;hk-0114;100;50;5000
nt115;hk-0115;100;50;5000
nt116;hk-0116;100;50;5000
nt117;hk-0117;100;50;5000
nt118;hk-0118;100;50;5000
nt119;hk-0119;100;50;5000
nt120;hk-0120;100;50;5000
nt121;hk-0121;100;50;5000
nt122;hk-0122;100;50;5000
nt123;hk-0123;100;50;5000
nt124;hk-0124;100;50;5000
nt125;hk-0125;100;50;5000
nt126;hk-0126;100;50;5000
nt127;hk-0127;100;50;5000
nt128;hk-0128;100;50;5000
nt129;hk-0129;100;50;5000
nt130;hk-0130;100;50;5000
nt131;hk-0131;100;50;5000
nt132;hk-0132;100;50;5000
nt133;hk-0133;100;50;5000
nt134;hk-0134;100;50;5000
nt135;hk-0135;100;50;5000
nt136;hk-0136;100;50;5000
nt137;hk-0137;100;50;5000
nt138;hk-0138;100;50;5000
nt139;hk-0139;100;50;5000
nt140;hk-0140;100;50;5000
nt141;hk-0141;100;50;5000
nt142;hk-0142;100;50;5000
nt143;hk-0143;100;50;5000
nt144;hk-0144;100;50;5000
nt145;hk-0145;100;50;5000
nt146;hk-0146;100;50;5000
nt147;hk-0147;100;50;5000
nt148;hk-0148;100;50;5000
nt149;hk-0149;100;50;5000
nt150;hk-0150;100;50;5000
nt151;hk-0151;100;50;5000
nt152;hk-0152;100;50;5000
nt153;hk-0153;100;50;5000
nt154;hk-0154;100;50;5000
nt155;hk-0155;100;50;5000
nt156;hk-0156;100;50;5000
nt157;hk-0157;100;50;5000
nt158;hk-0158;100;50;5000
nt159;hk-0159;100;50;5000
nt160;hk-0160;100;50;5000
nt161;hk-0161;100;50;5000
nt162;hk-0162;100;50;5000
nt163;hk-0163;100;50;5000
nt164;hk-0164;100;50;5000
nt165;hk-0165;100;50;5000
nt166;hk-0166;100;50;5000
nt167;hk-0167;100;50;5000
nt168;hk-0168;100;50;5000
nt169;hk-0169;100;50;5000
nt170;hk-0170;100;50;5000
nt171;hk-0171;100;50;5000
nt172;hk-0172;100;50;5000
nt173;hk-0173;100;50;5000
nt174;hk-0174;100;50;5000
nt175;hk-0175;100;50;5000
nt176;hk-0176;100;50;5000
nt177;hk-0177;100;50;5000
nt178;hk-0178;100;50;5000
nt179;hk-0179;100;50;5000
nt180;hk-0180;100;50;5000
nt181;hk-0181;100;50;5000
nt182;hk-0182;100;50;5000
nt183;hk-0183;100;50;5000
nt184;hk-0184;100;50;5000
nt185;hk-0185;100;50;5000
nt186;hk-0186;100;50;5000
nt187;hk-0187;100;50;5000
nt188;hk-0188;100;50;5000
nt189;hk-0189;100;50;5000
nt190;hk-0190;100;50;5000
nt191;hk-0191;100;50;5000
nt192;hk-0192;100;50;5000
nt193;hk-0193;100;50;5000
nt194;hk-0194;100;50;5000
nt195;hk-0195;100;50;5000
nt196;hk-0196;100;50;5000
nt197;hk-0197;100;50;5000
nt198;hk-0198;100;50;5000
nt199;hk-0199;100;50;5000
nt200;hk-0200;100;50;5000
nt201;hk-0201;100;50;5000
nt202;hk-0202;100;50;5000
nt203;hk-0203;100;50;5000
nt204;hk-0204;100;50;5000
nt205;hk-0205;100;50;5000
nt206;hk-0206;100;50;5000
